PIO logic analyser example
Arming trigger
Capture:
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1907008A 0700 8A 268435456
0907008A 0700 8A 0
09070001 0700 01 0
09070001 0700 01 0
09070001 0700 01 0
09070001 0700 01 0
09070001 0700 01 0
19001001 0010 01 268435456
19001001 0010 01 268435456
19001001 0010 01 268435456
19001001 0010 01 268435456
19000001 0000 01 268435456
19070001 0700 01 268435456
09070003 0700 03 0
09070003 0700 03 0
09070003 0700 03 0
09070003 0700 03 0
19070003 0700 03 268435456
19070003 0700 03 268435456
19070003 0700 03 268435456
09070000 0700 00 0
09070000 0700 00 0
09070000 0700 00 0
09070000 0700 00 0
19070000 0700 00 268435456
19071000 0710 00 268435456
09071000 0710 00 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
19001089 0010 89 268435456
19001089 0010 89 268435456
19001089 0010 89 268435456
19001089 0010 89 268435456
19001089 0010 89 268435456
19071089 0710 89 268435456
09071019 0710 19 0
09071019 0710 19 0
09071019 0710 19 0
09071019 0710 19 0
09071019 0710 19 0
19001019 0010 19 268435456
19001019 0010 19 268435456
19001019 0010 19 268435456
19001019 0010 19 268435456
19001019 0010 19 268435456
19200019 2000 19 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19200001 2000 01 268435456
19071001 0710 01 268435456
09071001 0710 01 0
09071009 0710 09 0
09071009 0710 09 0
09071009 0710 09 0
09071009 0710 09 0
09071009 0710 09 0
19001009 0010 09 268435456
19001009 0010 09 268435456
19001009 0010 09 268435456
19001009 0010 09 268435456
19071009 0710 09 268435456
19071009 0710 09 268435456
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
19001089 0010 89 268435456
19001089 0010 89 268435456
19001089 0010 89 268435456
19001089 0010 89 268435456
19001089 0010 89 268435456
19071089 0710 89 268435456
09071011 0710 11 0
09071011 0710 11 0
09071011 0710 11 0
09071011 0710 11 0
09071011 0710 11 0
19001011 0010 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19200011 2000 11 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19200000 2000 00 268435456
19071000 0710 00 268435456
09071000 0710 00 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
1D018089 8180 89 268435456
0D01808A 8180 8A 0
0D01808A 8180 8A 0
0D01808A 8180 8A 0
0D01808A 8180 8A 0
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
0D018001 8180 01 0
0D018001 8180 01 0
0D018001 8180 01 0
0D018001 8180 01 0
1D018001 8180 01 268435456
19018001 0180 01 268435456
09018001 0180 01 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19018003 0180 03 268435456
09018003 0180 03 0
09018018 0180 18 0
09018018 0180 18 0
09018018 0180 18 0
09018018 0180 18 0
09018018 0180 18 0
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19019018 0190 18 268435456
19019018 0190 18 268435456
0901909A 0190 9A 0
0901909A 0190 9A 0
0901909A 0190 9A 0
0901909A 0190 9A 0
0901909A 0190 9A 0
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1901909A 0190 9A 268435456
0901909A 0190 9A 0
09019010 0190 10 0
09019010 0190 10 0
09019010 0190 10 0
09019010 0190 10 0
19019010 0190 10 268435456
19019010 0190 10 268435456
09019000 0190 00 0
09019000 0190 00 0
09019000 0190 00 0
09019000 0190 00 0
09019000 0190 00 0
19000000 0000 00 268435456
19000000 0000 00 268435456
19000000 0000 00 268435456
19000000 0000 00 268435456
19000000 0000 00 268435456
19019000 0190 00 268435456
09019000 0190 00 0
09019092 0190 92 0
09019092 0190 92 0
09019092 0190 92 0
09019092 0190 92 0
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19019092 0190 92 268435456
19018092 0180 92 268435456
09018092 0180 92 0
09018012 0180 12 0
09018012 0180 12 0
09018012 0180 12 0
09018012 0180 12 0
09018012 0180 12 0
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19279012 2790 12 268435456
09279002 2790 02 0
09279002 2790 02 0
09279002 2790 02 0
09279002 2790 02 0
19279002 2790 02 268435456
19018002 0180 02 268435456
19018002 0180 02 268435456
09018089 0180 89 0
09018089 0180 89 0
09018089 0180 89 0
09018089 0180 89 0
09018089 0180 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19018089 0180 89 268435456
09018009 0180 09 0
09018009 0180 09 0
09018009 0180 09 0
09018009 0180 09 0
19018009 0180 09 268435456
19018009 0180 09 268435456
19018009 0180 09 268435456
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
19018003 0180 03 268435456
19018003 0180 03 268435456
19018003 0180 03 268435456
19018003 0180 03 268435456
1D018003 8180 03 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D018001 8180 01 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1907008A 0700 8A 268435456
0907008A 0700 8A 0
09070001 0700 01 0
09070001 0700 01 0
09070001 0700 01 0
09070001 0700 01 0
09070001 0700 01 0
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19070001 0700 01 268435456
09070003 0700 03 0
09070003 0700 03 0
09070003 0700 03 0
09070003 0700 03 0
19070003 0700 03 268435456
19070003 0700 03 268435456
19070003 0700 03 268435456
09070000 0700 00 0
09070000 0700 00 0
09070000 0700 00 0
09070000 0700 00 0
19070000 0700 00 268435456
19071000 0710 00 268435456
09071000 0710 00 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19071089 0710 89 268435456
09071019 0710 19 0
09071019 0710 19 0
09071019 0710 19 0
09071019 0710 19 0
09071019 0710 19 0
19000019 0000 19 268435456
19000019 0000 19 268435456
19000019 0000 19 268435456
19000019 0000 19 268435456
19000019 0000 19 268435456
19200019 2000 19 268435456
19200000 2000 00 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19071002 0710 02 268435456
09071002 0710 02 0
09071009 0710 09 0
09071009 0710 09 0
09071009 0710 09 0
09071009 0710 09 0
09071009 0710 09 0
19000009 0000 09 268435456
19000009 0000 09 268435456
19000009 0000 09 268435456
19000009 0000 09 268435456
19071009 0710 09 268435456
19071009 0710 09 268435456
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19071089 0710 89 268435456
09071089 0710 89 0
09071011 0710 11 0
09071011 0710 11 0
09071011 0710 11 0
09071011 0710 11 0
09071011 0710 11 0
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19200011 2000 11 268435456
19200011 2000 11 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19200002 2000 02 268435456
19071002 0710 02 268435456
09071002 0710 02 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
09071089 0710 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
1D018089 8180 89 268435456
0D01808B 8180 8B 0
0D01808A 8180 8A 0
0D01808A 8180 8A 0
0D01808A 8180 8A 0
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
1D01808A 8180 8A 268435456
0D018001 8180 01 0
0D018001 8180 01 0
0D018001 8180 01 0
0D018001 8180 01 0
1D018001 8180 01 268435456
19018001 0180 01 268435456
09018001 0180 01 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
09018003 0180 03 0
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19000003 0000 03 268435456
19018003 0180 03 268435456
09018003 0180 03 0
09018018 0180 18 0
09018018 0180 18 0
09018018 0180 18 0
09018018 0180 18 0
09018018 0180 18 0
19001018 0010 18 268435456
19001018 0010 18 268435456
19001018 0010 18 268435456
19001018 0010 18 268435456
19001018 0010 18 268435456
19019018 0190 18 268435456
0901909A 0190 9A 0
0901909A 0190 9A 0
0901909A 0190 9A 0

19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19008000 0080 00 268435456
19000081 0000 81 268435456
09000083 0000 83 0
0100009B 0000 9B 0
0100009B 0000 9B 0
0100009B 0000 9B 0
0100009B 0000 9B 0
0100009B 0000 9B 0
1100009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
1900009B 0000 9B 268435456
09000089 0000 89 0
09000089 0000 89 0
09000089 0000 89 0
09000089 0000 89 0
09000089 0000 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
09000089 0000 89 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
09000012 0000 12 0
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
09000012 0000 12 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
09000011 0000 11 0
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
19000011 0000 11 268435456
09000083 0000 83 0
09000083 0000 83 0
09000083 0000 83 0
09000083 0000 83 0
19000083 0000 83 268435456
19000083 0000 83 268435456
19000083 0000 83 268435456
09000081 0000 81 0
09000081 0000 81 0
09000081 0000 81 0
09000081 0000 81 0
19000081 0000 81 268435456
19000081 0000 81 268435456
09000081 0000 81 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
09000018 0000 18 0
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
09000010 0000 10 0
09000010 0000 10 0
09000010 0000 10 0
09000010 0000 10 0
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19000010 0000 10 268435456
19001010 0010 10 268435456
09001010 0010 10 0
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
09001001 0010 01 0
19001001 0010 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19001001 0010 01 268435456
09001001 0010 01 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
09001000 0010 00 0
19001000 0010 00 268435456
19001000 0010 00 268435456
09001000 0010 00 0
09001080 0010 80 0
09001080 0010 80 0
09001080 0010 80 0
09001080 0010 80 0
19001080 0010 80 268435456
19001080 0010 80 268435456
09001098 0010 98 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
09001018 0010 18 0
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19000018 0000 18 268435456
19001018 0010 18 268435456
09001018 0010 18 0
09001013 0010 13 0
09001013 0010 13 0
09001013 0010 13 0
09001013 0010 13 0
09001013 0010 13 0
19000013 0000 13 268435456
19000013 0000 13 268435456
19000013 0000 13 268435456
19000013 0000 13 268435456
19000013 0000 13 268435456
1D000013 8000 13 268435456
1D000080 8000 80 268435456
1D000080 8000 80 268435456
1D000080 8000 80 268435456
1D000080 8000 80 268435456
1D000080 8000 80 268435456
19004080 0040 80 268435456
19004080 0040 80 268435456
0900409A 0040 9A 0
0900409A 0040 9A 0
0900409A 0040 9A 0
0900409A 0040 9A 0
0900409A 0040 9A 0
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1900009A 0000 9A 268435456
1D00009A 8000 9A 268435456
0D00009B 8000 9B 0
0D000080 8000 80 0
0D000080 8000 80 0
0D000080 8000 80 0
1D000080 8000 80 268435456
19000080 0000 80 268435456
19004080 0040 80 268435456
09004000 0040 00 0
09004000 0040 00 0
09004000 0040 00 0
09004000 0040 00 0
09004000 0040 00 0
19000000 0000 00 268435456
19000000 0000 00 268435456
19000000 0000 00 268435456
19000000 0000 00 268435456
19000000 0000 00 268435456
19004000 0040 00 268435456
09004000 0040 00 0
09004098 0040 98 0
09004098 0040 98 0
09004098 0040 98 0
09004098 0040 98 0
19004098 0040 98 268435456
19004098 0040 98 268435456
09004089 0040 89 0
09004089 0040 89 0
09004089 0040 89 0
09004089 0040 89 0
09004089 0040 89 0
19004089 0040 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19000089 0000 89 268435456
19004089 0040 89 268435456
09004089 0040 89 0
09004082 0040 82 0
09004082 0040 82 0
09004082 0040 82 0
09004082 0040 82 0
19004082 0040 82 268435456
19004082 0040 82 268435456
09004082 0040 82 0
09004001 0040 01 0
09004001 0040 01 0
09004001 0040 01 0
09004001 0040 01 0
19004001 0040 01 268435456
19004001 0040 01 268435456
19004001 0040 01 268435456
1D018001 8180 01 268435456
1D018000 8180 00 268435456
1D018000 8180 00 268435456
1D018000 8180 00 268435456
1D018000 8180 00 268435456
1D018000 8180 00 268435456
1D018000 8180 00 268435456
1D018000 8180 00 268435456
1D018002 8180 02 268435456
1D018002 8180 02 268435456
1D018002 8180 02 268435456
1D018002 8180 02 268435456
1D018002 8180 02 268435456
1D018002 8180 02 268435456
19018002 0180 02 268435456
09018001 0180 01 0
09018001 0180 01 0
09018001 0180 01 0
09018001 0180 01 0
09018001 0180 01 0
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19000001 0000 01 268435456
19018001 0180 01 268435456
09018001 0180 01 0
09018093 0180 93 0
09018093 0180 93 0
09018093 0180 93 0
09018093 0180 93 0
19018093 0180 93 268435456
19018093 0180 93 268435456
0901809B 0180 9B 0
0901800B 0180 0B 0
0901800B 0180 0B 0
0901800B 0180 0B 0
1901800B 0180 0B 268435456
1901800B 0180 0B 268435456
1901800B 0180 0B 268435456
0901808B 0180 8B 0
0901808B 0180 8B 0
0901808B 0180 8B 0
0901808B 0180 8B 0
0901808B 0180 8B 0
1900008B 0000 8B 268435456
1900008B 0000 8B 268435456
1900008B 0000 8B 268435456
1900008B 0000 8B 268435456
1900008B 0000 8B 268435456
1901808B 0180 8B 268435456
0901808B 0180 8B 0
09018012 0180 12 0
09018012 0180 12 0
09018012 0180 12 0
09018012 0180 12 0
09018012 0180 12 0
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19000012 0000 12 268435456
19279012 2790 12 268435456
19279012 2790 12 268435456
0927900B 2790 0B 0
0927900B 2790 0B 0
0927900B 2790 0B 0
0927900B 2790 0B 0
1927900B 2790 0B 268435456
1901800B 0180 0B 268435456
0901800B 0180 0B 0
09018089 0180 89 0
09018089 0180 89 0
09018089 0180 89 0
09018089 0180 89 0
09018089 0180 89 0
19000089 0000 89 268435456
19000089 0000 89 268435456
PIO logic analyser example
Arming trigger
Capture:
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19025093 0250 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19004093 0040 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19065093 0650 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19005093 0050 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19065093 0650 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19000093 0000 93 1
19065093 0650 93 1
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
09065093 0650 93 0
19065093 0650 93 1
